pn,alias,direction,industry,rel_day,pub_date,provider,title,content,news_id,category,labeler,relevance,stance_label,confidence,reason
41,녹색성장,+,2차전지/에너지,-26,2009-06-10,광남일보,'2009 광주발전포럼',"11일 DJ센터... 미래 신성장동력 산업 발전방안 모색 

 

 

광주의 주력산업으로 성장해온 '光산업'과 '자동차산업' 등 미래 신성장동력산업 발전 방안을 모색하는 '2009 광주발전포럼'이 열린다. 

 

10일 광주시에 따르면 '2009 광주발전포럼'이 '녹색성장! 광주가 이끈다'를 주제로 11일 오후2시부터 5시까지 김대중컨벤션센터 컨벤션홀에",01620001.20090610171805003,"지역>광주, 지역>울산, 지역>대구",,,,,
8,K칩스법 1차,+,반도체,-16,2023-03-06,헤럴드경제,"[헤럴드비즈] 무공해차 대전환기, 수출환경 변화에 대비해야","우리나라는 수출을 통해 해외 시장에 판매하는 자동차가 내수보다 훨씬 많다. 국내 자동차시장이 한계에 달해 일찍부터 수출시장을 개척해왔기 때문이다. 수출은 지난 2012년 317만대로 정점을 찍은 뒤 해마다 줄어 지난해에는 내수 168만대, 수출 230만대를 기록했다. 
 
 이런 가운데 우리나라 자동차 수출의 40%를 차지하는 최대시장 미국은 오는 2030",02100701.20230306113246001,"경제>무역, 경제>자동차, 경제>반도체",,,,,
2,반도체촉진,+,반도체,1,2002-01-01,머니투데이,[2002경제]전자.반도체 부진털고 `맑음`,"올해 업종별 기상도는 전자와 조선이 맑음,철강은 다소 흐림 정도가 될 것으로 보인다.산업은행의 기업실사지수(BSI) 조사나 대한상의의 분석 결과를 보면 월드컵 특수와 중국의 세계무역기구(WTO) 가입등이 호재로 작용하면서 전자업종을 중심으로 대부분의 업종이 내수와 수출에서 동반 회복을 할 것으로 전망되고 있다.

수출의 주축인 전자·반도체는 새해에 지난해의",02100201.20160222170650474,"경제>무역, 경제>자원, 경제>반도체",,,,,
18,거래세 인하,+,금융/증권,0,2019-06-03,머니투데이,"'금융통' 김병욱, 유튜브서 '증권맨 김병욱의 경제이야기' 시작","[머니투데이 이재원 기자] [[the300]첫 콘텐츠는 '증권거래세'…""경제와 함께하는 국회 만들겠다""]


 김병욱 더불어민주당 의원/사진=뉴스1
김병욱 더불어민주당 의원이 유튜브에서 경제 관련 콘텐츠 '증권맨 김병욱의 경제이야기'를 3일 시작한다. 증권거래세 등 민주당의 자본시장 활성화 대책에 대해 살펴보는 내용이다.

김 의원은 여의도 입성 전에는 증",02100201.20190603094605001,"정치>국회_정당, 정치>선거",,,,,
16,공매도 금지 4차,+,금융/증권,0,2023-11-05,아주경제,"""공매도 막는다고?"" MSCI 편입 돌발 악재","[사진=게티이미지뱅크] 
정부가 공매도 금지 카드를 빼 들면서 우리나라 증시 선진화를 위한 모건스탠리캐피털인터내셔널(MSCI) 선진국지수 편입은 한 걸음 멀어졌다는 분석이 나온다. 공매도 전면 재개가 지수 편입을 위한 필요 조건 중 하나로 꼽히기 때문이다.  
 
금융당국이 5일 공매도 전면 금지 안을 발표하면서 국내 유가증권시장과 코스닥에 상장된 모든 종",02100851.20231105173453001,"경제>증권_증시, 경제>외환, 경제>금융_재테크",,,,,
15,공매도 금지 3차,+,금융/증권,-5,2020-03-11,세계일보,"공매도 금지하자 폭락 장에도 주가 올라… 정부, 29개 종목 새로 지정","정부의 공매도 규제 강화 이틀째인 11일 과열종목이 29개가 지정됐다. 규제 강화 전보다 크게 늘어난 수치다. 전날 새 기준에 따라 과열종목으로 지정된 11개 종목 중 9개는 이날 주식시장이 3% 넘게 하락하는 와중에도 주가가 상승했다. 
 
 이날 한국거래소 공매도종합포털에 따르면 공매도 과열종목으로 지정된 종목은 총 29개였다. 유가증권시장에서는 두산중",01100701.20200311230622001,"경제>증권_증시, 경제>부동산, 경제>유통",,,,,
9,메가 클러스터,+,반도체,-5,2024-01-10,한국경제,"""올해 30만 가구 공급""…PF 리스크가 최대 변수","지난해 전국 민영 아파트(민간임대 포함) 분양 물량은 12년 만에 가장 적었다. 부동산 경기 침체와 공사비 갈등 등으로 서울 강남권 등 선호 단지 청약 일정도 줄줄이 밀렸다. 금융비용과 인건비, 원자재 가격 등이 일제히 오르며 분양가는 다락같이 뛰었다. 
 
올해도 청약시장은 녹록지 않을 전망이다. 다만 지난해보다 청약자의 선택지는 넓어질 것이란 관측이 나",02100601.20240110161715001,"경제>부동산, 경제>유통",,,,,
7,미국 반도체 수출규제,-,반도체,1,2022-10-08,YTN,"美, 반도체 장비 대 중국 수출 통제...삼성·SK 별도심사","미국이 중국의 반도체 생산기업에 미국산 첨단 반도체 장비 판매를 사실상 금지하고 인공지능과 슈퍼컴퓨터에 사용되는 반도체 수출을 제한하는 수출 통제 조치를 공식 발표했습니다.

상무부는 보도자료를 통해 이번 수출 통제는 중국이 첨단 컴퓨팅칩을 확보하고 슈퍼컴퓨터와 첨단 반도체를 개발·유지하기 위한 능력을 제한할 것이라며 수출통제조치의 배경을 밝혔습니다.

이",08100401.20221008042202001,"경제>무역, 경제>반도체, 경제>유통",,,,,
35,쌍벌제,-,바이오/제약,-2,2010-11-26,세계일보,리베이트 쌍벌제 28일부터 시행,"논란이 많았던 의약품 리베이트 쌍벌제가 28일부터 시행된다. 
 
보건복지부는 26일 투명한 유통시장 질서유지를 위해 의약품과 의료기기의 거래에서 불법 리베이트를 제공한 사람과 받은 사람 모도 처벌하는 ‘리베이트 쌍벌제’를 28일부터 시행한다고 밝혔다. 
 
이에 따라 의사나 약사 등은 제약사 등으로부터 판매촉진의 목적으로 부당한 경제적 이익을 받을 수 없",01100701.2010112610005027313,사회>사건_사고,,,,,
6,반도체 초강대국,+,반도체,-22,2022-06-29,영남일보,"양향자 ""반도체특위, 與野협치 새모델 되겠다""","국민의힘 반도체산업 경쟁력강화 특별위원회가 28일 첫 회의를 열고 본격적인 활동에 들어갔다.

더불어민주당을 탈당한 무소속 양향자 의원이 위원장을 맡아 반도체 산업 관련 규제 개혁과 인재 양성, 세제 지원 방안을 집중 논의할 계획이다. 양 위원장은 이날 국회 의원회관에서 열린 반도체특위 1차 회의에서 ""오늘 출범하는 반도체특위의 키워드를 '초월'이라 말씀드",01500801.20220629064936001,"정치>국회_정당, 정치>행정_자치, 정치>청와대",,,,,
38,백신-CMO,+,바이오/제약,0,2021-03-23,EBN,보령제약 관계사 잇단 상장 움직임,"보령제약 관계사들이 잇달아 증권시장 상장에 도전하고 있다.


23일 관련 업계에 따르면 보령바이오파마와 바이젠셀이 상장을 추진 중이다.


보령바이오파마는 기업공개(IPO)를 위해 최근 국내 주요 증권회사를 상대로 상장주관사 선정을 위한 입찰제안요청서(RFP)를 발송한 것으로 알려졌다. 주관사 선정이 마무리되고 나면 본격적인 상장준비에 나설 예정이다.

",04100958.20210323140237001,"IT_과학>과학, 경제>증권_증시, 경제>반도체",,,,,
28,8·2 대책,-,부동산/건설,-1,2017-08-01,브레이크뉴스,[정가잡설(政街雜說)]‘반응성과 역동성의 미학’...흔들고 깨워라 -⓷,"  
 


 

 

 

 

 

 ▲ 김대중 전 대통령     © 박정례 기자 
 










   
 


 [브레이크뉴스 선임기자 박정례 기자]= 국사무쌍(國士無雙), 한나라 때의 뛰어난 장수 한신 같은 이를 일컫는 말이다. 국민의당은 다가오는 8.27일 당대표 선출을 위한 임시전당대회를 개최하게 되는데, 다당(多黨) 체재를 확고히 하고 ",04100608.20170801095851001,,,,,,
