news_id,pn,alias,consensus_relevance,consensus_stance,consensus_status
01620001.20090610171805003,41,녹색성장,1,support,agree
02100701.20230306113246001,8,K칩스법 1차,0,neutral,agree
02100201.20160222170650474,2,반도체촉진,1,support,agree
02100201.20190603094605001,18,거래세 인하,1,neutral,agree
02100851.20231105173453001,16,공매도 금지 4차,2,contradict,agree
01100701.20200311230622001,15,공매도 금지 3차,2,support,agree
02100601.20240110161715001,9,메가 클러스터,0,neutral,agree
08100401.20221008042202001,7,미국 반도체 수출규제,2,support,agree
01100701.2010112610005027313,35,쌍벌제,2,support,agree
01500801.20220629064936001,6,반도체 초강대국,1,support,agree
04100958.20210323140237001,38,백신-CMO,1,support,agree
04100608.20170801095851001,28,8·2 대책,0,neutral,agree
01400301.20190702205659002,3,일본 수출규제,2,support,agree
04102008.20240425171559001,48,첨단전략산업법,1,support,agree
04100158.20200714144158003,50,그린뉴딜,2,neutral,agree
02100351.20110809150000200,14,공매도 금지 2차,1,neutral,agree
02100701.20210714211523001,45,EU CBAM,2,support,agree
08100301.20051206235141001,33,황우석 폭로,2,support,agree
01500601.20190522172238001,37,바이오 육성,2,support,agree
01100751.20221021172805001,47,배터리 전략,0,neutral,agree
04101008.20171220081141001,43,재생에너지 3020,2,support,agree
01500601.20050901094000001,23,8·31 대책,2,neutral,agree
01100901.19980506005640002,21,주택활성화,0,neutral,agree
04101008.20180902221014001,29,9·13 대책,1,neutral,agree
01500051.20000627214308102,31,의약분업,1,neutral,agree
07100501.20131226104332023,42,전기차 보조금,0,neutral,agree
02100601.20250501212237001,49,IRA 축소,0,neutral,agree
02100351.20090714150555001,34,시밀러 가이드,2,neutral,agree
02100851.20241023060221001,19,금투세 폐지,2,support,agree
02100601.20190707181524002,44,ESS 화재,2,support,agree
