pn,alias,industry,rel_day,pub_date,provider,title,content,news_id,category,relevance,stance_label,confidence,reason
8,K칩스법 1차,반도체,-16,2023-03-06,헤럴드경제,"[헤럴드비즈] 무공해차 대전환기, 수출환경 변화에 대비해야","우리나라는 수출을 통해 해외 시장에 판매하는 자동차가 내수보다 훨씬 많다. 국내 자동차시장이 한계에 달해 일찍부터 수출시장을 개척해왔기 때문이다. 수출은 지난 2012년 317만대로 정점을 찍은 뒤 해마다 줄어 지난해에는 내수 168만대, 수출 230만대를 기록했다. 
 
 이런 가운데 우리나라 자동차 수출의 40%를 차지하는 최대시장 미국은 오는 2030",02100701.20230306113246001,"경제>무역, 경제>자동차, 경제>반도체",,,,
34,시밀러 가이드,바이오/제약,0,2009-07-15,환경일보,[인물동정] 윤여표 식품의약품안전청장 외,"세계보건기구 회의 참석 

<윤여표 식품의약품안전청장> 

윤여표 식품의약품안전청장은 7월 15일부터 이틀간 캐나다 오타와에서 열리는 국제 바이오시밀러 가이드라인 최종 검토를 위한 세계보건기구(WHO) 회의에 참석한다. 

주민대표와 간담회 통해 여론 수렴 

<허남식 부산시장> 

허남식 부산시장은 7월 14일 부산 사하구청을 방문해 주민대표와 가진 간담",07100502.20090715174040002,"지역>부산, 지역>경남",,,,
38,백신-CMO,바이오/제약,-18,2021-03-05,아시아투데이,"'IPO 최대어' SK바이오사이언스, SK바이오팜 전철 밟나","아시아투데이 김윤주 기자 = 이달 내 상장을 앞둔 ‘IPO 대어’ SK바이오사이언스가 SK바이오팜과 다른 길을 걸을 수 있을까. 지난해 상장 대어였던 SK바이오팜은 화려하게 증시에 입성했으나, 현재 주가는 상장 후 최고가 대비 반토막 났다. SK바이오사이언스 또한 비슷한 전철을 밟을 수 있다는 우려가 나온다. 공모주 열풍에 상장 후 고점을 형성한 뒤 하락 ",01100751.20210305060104002,"경제>증권_증시, 경제>금융_재테크, 경제>유통",,,,
6,반도체 초강대국,반도체,1,2022-07-22,경인일보,"반도체, 5년간 340조 투자지원… 소부장 밀집 경기도 '최대 수혜'","정부가 앞으로 5년간 반도체 기업이 340조원 이상을 투자하도록 지원을 확대하기로 하면서, 대한민국 반도체 산업 중심지인 경기도가 '제2의 전성기'를 맞이할 것이라는 기대감이 커지고 있다. 
 
이창양 산업통상자원부 장관은 21일 화성시 반도체 소재 기업 동진쎄미켐의 발안공장을 찾아 기획재정부 등 관계 부처와 합동으로 마련한 '반도체 초강대국 달성전략'을 ",01200201.20220722210125001,"경제>반도체, 경제>유통, 경제>자동차",,,,
44,ESS 화재,2차전지/에너지,0,2019-08-01,아시아투데이,"김도진 기업은행장 ""닫힌 뱅킹에서 '열린' 플랫폼으로 사고전환해야""","아시아투데이 임초롱 기자 = “기존의 닫혀있던 ‘뱅킹’의 사고에서 벗어나 열려있는 ‘플랫폼’과 같은 사고로 대전환을 이뤄야 한다.” 김도진 IBK기업은행장은 1일 서울 중구 기업은행 본점에서 ‘창립 58주년 기념식’에서 “혁신은행 IBK를 위해 과거의 경험, 복잡성 그리고 평균의 함정에서 벗어나 새로운 관점으로 상품과 절차를 단순화하고 고객과 직원의 개별성",01100751.20190801111205002,"경제>취업_창업, 경제>금융_재테크, 경제>무역",,,,
29,9·13 대책,부동산/건설,-11,2018-09-02,이데일리,[미리보는 이데일리 신문]미래기술 알아야 대한민국 미래 보인다,"[이데일리 원다연 기자] 다음은 3일자 이데일리 신문 주요 기사다. 

△1면

-미래기술 알아야 대한민국 미래 보인다

-대북 특사단 5명 5일 당일치기 방북

-주택수요 부추긴 임대주택 정책 국토부, 9개월 만에 정책실패 자인

-손성원 “美 경제 2020년 절벽 우려…내년엔 금리인상 힘들 듯”

-[사설] 생산적 정기국회로 국민에게 희망 줘야

-[사",04101008.20180902221014001,"경제>산업_기업, 경제>국제경제, 경제>증권_증시",,,,
42,전기차 보조금,2차전지/에너지,-4,2013-12-26,전자신문,[내년 달라지는 것들]산업,"해외로 제조·생산 시설을 이전했던 우리 기업의 국내 복귀를 돕는 `유턴기업지원법`이 새해 본격 시행된다. 유턴기업지원법은 해외 진출기업의 국내 유턴을 촉진해 투자 활성화와 고용 창출을 이루기 위해 마련된 법이다. 지난 7일부터 시행됐다. 정부는 법에 따라 유턴기업 선정 절차를 진행, 새해부터 국내 복귀 지원을 구체화할 계획이다.유턴기업에는 △법인소득세(해외",07100501.20131226104332023,"경제>무역, 경제>자동차, 경제>금융_재테크",,,,
30,27만호 공급,부동산/건설,0,2024-01-10,뉴스핌,"민주 당대표 정치테러 대책위 ""이재명 피습 공범·배후 밝혀야…경찰, 실패한 수사""","[서울=뉴스핌] 김윤희 기자 = 더불어민주당 '당대표 정치테러 대책위원회'는 10일 제2차 회의를 열고 이재명 대표 피습 사건에 대한 경찰의 수사를 ""미비한 축소 수사, 실패한 수사""라고 규탄했다. 
 

 전현희 대책위원장은 이날 회의에서 ""저희 대책위는 경찰과 수사당국이 다시 적극적, 전면적으로 재수사할 것을 요구한다""며 살인교사 여부 및 공범의 유무를",04100078.20240110184351001,"사회>사건_사고, 국제>중남미",,,,
28,8·2 대책,부동산/건설,1,2017-08-03,서울경제,"[모닝브리핑]신한금융투자 “8.2 부동산 대책, 건설주 매출액 장기간 확보 업체 추천”","-정부 실수요 보호와 단기 투기수요 억제를 통한 주택시장 안정화 방안 발표. 6.19대책(주택시장의 안정적 관리를 위한 선별적 맞춤별 대응방안)을 통해 대출 규제 및 전매제한기간 강화를 발표했으나 과열 현상 지속)으로 추가 대책을 발표 
 
-정부는 주택시장 과열의 원인을 ‘투기 수요 유입’으로 규정. 대책 주요 내용: 1) 투기과열지구(서울,과천,세종)/",02100311.20170803084907001,"경제>부동산, 경제>금융_재테크, 경제>유통",,,,
45,EU CBAM,2차전지/에너지,0,2021-07-14,헤럴드경제,"탄소배출 많은 수입품에 稅 부과…EU, 대규모 탄소 배출 감축 계획 발표","[헤럴드경제=손미정 기자] 유럽연합(EU)이 대규모 탄소 배출 감축 계획을 제안할 예정인 것으로 알려졌다. 여기에는 화석연료 사용을 단계적으로 줄여나가는 것을 비롯, 탄소 배출량이 많은 제품에 세금을 부과하는 방안도 포함된 것으로 전해졌다. 
 
 14일(현지시간) 뉴욕타임스(NYT) 등에 따르면 EU 행정부 격인 EU집행위원회는 이날 역내 온실가스 순배출",02100701.20210714211523001,"국제>유럽_EU, 국제>미국_북미, 경제>자동차",,,,
