pn,alias,direction,industry,rel_day,pub_date,provider,title,content,news_id,category,consensus_relevance,consensus_stance,consensus_status,rel_1,rel_2,rel_3,stance_1,stance_2,stance_3,conf_1,conf_2,conf_3,reason_1,reason_2,reason_3
11,5개 은행 퇴출,-,금융/증권,-12,1998-06-17,경향신문,12개 부실銀 경영평가 26일 확정,"◎금감위,신한 등 5개銀 합병주도銀 선정금융감독위원회는 16일 부실판정은행의 자산·부채이전(P&A)을 위한 인수은행 선정에 들어갔다. 이와 함께 은행간 자발적인 인수·합병(M&A)에 따른 준비 등 경영평가위원회의 판정에 대비한 후속작업에 착수했다. 또 12개 부실은행에 대한 경영평가는 26일 확정키로 했다.
16일 금융감독위원회에 따르면 은행 구조조정을 매",01100101.19980617000000805,"경제>국제경제, 경제>금융_재테크, 경제>산업_기업",2,neutral,majority_auto,2,2,2,neutral,neutral,support,medium,medium,medium,12개 부실은행 경영평가 일정 사실보도,5개 은행 퇴출 관련 경영평가 일정 발표,"부실은행 퇴출 절차 진행 보도, 구조조정 강화 맥락"
11,5개 은행 퇴출,-,금융/증권,-7,1998-06-22,경향신문,313개 부실징후 대기업중/‘정상’150곳·‘회생가능’108곳,"◎금감위 구조조정委 본격 운영/55개 기업 퇴출과정 1∼3개월 부도유예/회생가능기업 ‘워크아웃’팀 파견 대수술기업 구조조정 대상이었던 313개 부실징후 대기업중 55개 퇴출대상외에 「정상」판정을 받은 기업은 150개, 「회생가능」기업은 108개로 확인됐다.
이중 회생가능 기업에는 채권은행관계자와 회계사 등 외부전문가가 동원되는 「워크아웃」(구조조정)팀이 들",01100101.19980622000000701,"경제>산업_기업, 경제>국제경제, 경제>서비스_쇼핑",2,support,needs_review_low,1,2,2,support,support,support,low,medium,medium,5개 은행 퇴출 맥락 부실 대기업 퇴출 다룸,"퇴출 구조조정 본격 운영, 악재 정책 일치","구조조정委 운영 본격, 부실기업 퇴출 정책 강화"
33,황우석 폭로,-,바이오/제약,8,2005-12-23,경향신문,<정동칼럼> 믿음과 소망,"황우석 신드롬은 애초부터 과학의 현상이 아니었다. BT에 명운을 건 국가는 2005년 황우석의 연구를 국교로 공인했다. 언론은 영생의 줄기세포주가 곧 오셔서 세상의 모든 병자들이 치유함을 받을 거라고 전했다. 조선복음, 중앙복음, 동아복음, 문화복음. 이 네 사도가 이 기쁜 소식을 사마리아 땅 끝까지 전하자, 이윽고 그 믿음은 모든 이의 것이 되었다.
국가",01100101.20051223100014416,"문화>생활, IT_과학>과학, 사회>미디어",2,support,unanimous,2,2,2,support,support,support,medium,high,high,"황우석 신드롬 비판 칼럼, 폭로 정황","황우석 신드롬 비판 정동칼럼, 악재 정책 일치","황우석 폭로 후 비판 칼럼, 악재 정책에 부정 일치"
26,4·1 대책,+,부동산/건설,0,2013-04-01,경향신문,[뉴스분석]돈 더 빌려주고 세금 혜택… ‘보금자리’ 줄여 구매 유도,"<!-- SUB_TITLE_START--><strong style='color: #6b6b6b;'>ㆍ주택 수요 확대·공급 억제… 정부 첫 부동산 종합대책</strong><!-- SUB_TITLE_END-->

정부가 부동산 시장을 부양하기 위해 집을 사고파는 사람의 세금을 대폭 깎아주기로 했다. 총부채상환비율(DTI)과 주택담보인정비율(LTV)도 일부 완화",01100101.2013040110010700280,"경제>부동산, 경제>자원, 경제>금융_재테크",2,support,unanimous,2,2,2,support,support,support,high,high,high,4·1 대책 정부 첫 부동산 종합대책 보도,4·1 대책 세금 혜택 DTI LTV 완화 호재 명시,4·1 대책 세제 완화 보금자리 줄이기 호재 단정
38,백신-CMO,+,바이오/제약,29,2021-04-21,경향신문,이재명 “청와대에 러시아 백신 검토 요청”…도입 공론화 나서,"ㆍ“진영대결보다 생명 우선” 
ㆍ문 대통령도 점검 지시 
ㆍ전문가 “안전성 검증 먼저”



코로나19 백신의 수급 불안이 커지자 러시아산 백신인 ‘스푸트니크V’의 도입을 검토할 필요가 있다는 주장이 공론화하고 있다. 전문가들은 이 백신도 혈전과 같은 부작용을 야기할 가능성이 있다며 안전성을 충분히 검증한 뒤 도입을 검토해야 한다고 조언했다.

이재명 경기",01100101.20210421210022001,"국제>러시아, 국제>중남미, IT_과학>IT_과학일반",1,neutral,needs_review_low,1,1,1,neutral,neutral,support,low,medium,low,"러시아 백신 도입 검토, CMO와 약함","백신 수급 불안 속 러시아백신 검토, CMO 직접 약함","백신 수급 불안 다룬 보도, CMO 호재 맥락 일치"
47,배터리 전략,+,2차전지/에너지,0,2022-11-01,경향신문,"수출 ‘하락세’ 반전 어렵다…정부, 반도체 1조원 재정 투입","정부가 5대 신산업 분야에 대한 수출 경쟁력 강화에 나선다. 추경호 부총리 겸 기획재정부 장관은 1일 정부서울청사에서 열린 비상경제장관회의에서 “당분간 (수출)증가세 반전이 쉽지 않을 것”이라며 “근본적인 수출 구조 개선을 위한 노력을 강화해야 한다”고 말했다. 그러면서 반도체·2차전지 등 주력산업, 해외 건설, 중소·벤처, 관광·콘텐츠, 디지털·바이오·우",01100101.20221101161104003,"경제>취업_창업, 경제>무역, 경제>반도체",2,support,needs_review_low,1,2,2,support,support,support,low,medium,high,"수출경쟁력 강화 정책, 배터리 전략 직접 명시 약함","2차전지 주력산업 지원 발표, 배터리 전략 일치","정부 2차전지 등 신산업 수출 지원 강화, 호재"
47,배터리 전략,+,2차전지/에너지,22,2022-11-23,경향신문,대외 여건 악화 속에 경고등 켜진 수출…시장 맞춤전략·주력 산업 강화로 돌파,"윤 대통령 주재 ‘제1차 수출전략회의’

대외 여건 악화로 한국 경제 버팀목인 수출에 경고등이 켜지면서 정부가 주력·전략시장별로 시장을 세분화해 수출 확대를 모색하기로 했다. 반도체, 2차전지, 디스플레이 등 수출 경쟁력이 높은 주력 업종 외에 농식품과 수산물, K관광 등 각 부처별 유망산업의 수출 경쟁력 강화도 지원한다. 무역적자의 가장 큰 원인인 에너지",01100101.20221123211340001,"경제>무역, 경제>반도체",2,support,needs_review_low,1,2,2,support,support,support,low,medium,high,수출전략회의에서 2차전지 등 주력산업 강화,"2차전지 등 주력산업 경쟁력 강화 지원, 배터리 전략 호재","2차전지 주력산업 강화 지원, 배터리 전략 호재 맥락"
10,K칩스법 2차,+,반도체,-29,2024-11-11,경향신문,"국민의힘, ‘주52시간 예외’ 담은 반도체특별법 당론 발의","국민의힘이 11일 반도체산업에 대한 주52시간제 적용 예외, 직접 보조금 지원 등을 골자로 하는 반도체특별법을 당론 발의했다. 반도체산업의 국제 경쟁력 강화를 위해 전방위적 지원에 나서겠다는 취지다. 노동시간 예외 적용, 세액 공제가 아닌 직접 지원 방식 등을 두고 야당의 반발이 예상된다.

국회 산업통상자원중소벤처기업위원장인 이철규 국민의힘 의원은 이날 ",01100101.20241111161836001,경제>반도체,2,support,unanimous,2,2,2,support,support,support,high,high,high,"반도체특별법 당론 발의, 직접보조금 등 지원",K칩스법 맥락 반도체특별법 당론 발의 호재,"반도체특별법 직접지원·52시간예외, K칩스법 호재"
19,금투세 폐지,+,금융/증권,17,2024-11-21,경향신문,청년 핑계 ‘포퓰리즘 감세’ 쏟아낸 한동훈,"한동훈 국민의힘 대표(사진)가 내년 1월 시행 예정이던 금융투자소득세(금투세) 폐지에 이어 가상자산 과세 유예 카드를 내밀며 감세 드라이브를 걸고 있다. 2년 연속 세수 결손이 예상되고 경기가 침체된 상황에서 연일 ‘세금 깎아주기’를 밀어붙이는 모습이다. 공정 과세 원칙에 맞지 않고, 정부 재정을 고려해야 할 여당 대표로서 무책임한 ‘포퓰리즘’이란 비판이 ",01100101.20241121214751001,"경제>증권_증시, 경제>무역",2,neutral,needs_review_low,2,2,2,neutral,neutral,contradict,medium,medium,low,금투세 폐지 포퓰리즘 비판 양면 사설,금투세 폐지 비판적 사설로 양면 균형,금투세 폐지 포퓰리즘 비판 사설 호재 반대 시각
21,주택활성화,+,부동산/건설,-5,1998-05-17,국민일보,"""4조원규모 중도금 특별대출""","정부와 국민회의 자민련은 주택·건설경기 활성화 지원대책으로 소비자들의 주택 구매력 회복을 위해 4조원 규모의 중도금 특별대출 방안을 검토중이다.
 당정은 또 주택신용보증기금이 중도금을 지급보증할 때 필요한 담보조건을 완화키로 했다.
 국민회의 장영달(張永達)제2정조위원장은 16일 ""현재 분양되지 않거나 공사가 중단된 주택시장자금 규모가 5조원 가량에 달한다",01100201.19980517151133002,"경제>부동산, 지역>강원, 지역>경기",2,support,unanimous,2,2,2,support,support,support,high,high,high,주택활성화 4조 중도금 특별대출 검토 보도,주택활성화 4조 중도금 특별대출 담보완화 호재 명시,주택활성화 4조 중도금 특별대출 호재 단정 직접 보도
