pn,alias,direction,n,p_support_mean,p_contradict_mean,signal_mean,aligned
1,반도체 빅딜,+,384,0.6096533854166667,0.09656406249999999,0.5130893229166666,True
2,반도체촉진,+,27,0.5408296296296297,0.19276666666666667,0.34806296296296296,True
3,일본 수출규제,-,1798,0.9298203559510567,0.043564961067853174,-0.8862553948832036,False
4,소부장 대책,+,281,0.8898871886120997,0.016420640569395017,0.8734665480427046,True
5,K반도체 벨트,+,568,0.8940785211267606,0.040615845070422534,0.853462676056338,True
6,반도체 초강대국,+,241,0.9139834024896266,0.04876099585062241,0.8652224066390041,True
7,미국 반도체 수출규제,-,339,0.6771185840707965,0.11631238938053098,-0.5608061946902655,False
8,K칩스법 1차,+,516,0.8000759689922481,0.05856201550387597,0.7415139534883721,True
9,메가 클러스터,+,621,0.8544599033816425,0.03046135265700483,0.8239985507246377,True
10,K칩스법 2차,+,36,0.6854888888888888,0.08611944444444444,0.5993694444444445,True
11,5개 은행 퇴출,-,1239,0.8764030669895077,0.033171912832929785,-0.8432311541565779,False
12,리먼 파산,-,3840,0.81898359375,0.07886463541666666,-0.7401189583333333,False
13,공매도 금지 1차,+,361,0.7495373961218837,0.08043434903047092,0.6691030470914128,True
14,공매도 금지 2차,+,400,0.57737825,0.07651325,0.500865,True
15,공매도 금지 3차,+,686,0.7816648688046647,0.05246180758017492,0.7292030612244897,True
16,공매도 금지 4차,+,1834,0.6736674482006544,0.08875583424209378,0.5849116139585606,True
17,100조 패키지,+,2502,0.6301390487609912,0.04791730615507594,0.5822217426059153,True
18,거래세 인하,+,118,0.6758805084745763,0.09529152542372882,0.5805889830508475,True
19,금투세 폐지,+,1183,0.5972618765849534,0.05358427726120034,0.5436775993237531,True
20,자본시장법,+,819,0.7602240537240538,0.03687716727716728,0.7233468864468865,True
21,주택활성화,+,54,0.6512074074074073,0.035381481481481486,0.615825925925926,True
22,10·29 대책,-,754,0.8861023872679046,0.044729840848806365,-0.8413725464190982,False
23,8·31 대책,-,1714,0.8764964410735123,0.04892333722287048,-0.8275731038506418,False
24,세제완화,+,463,0.7821077753779698,0.043885529157667386,0.7382222462203024,True
25,보금자리 150만,+,499,0.7158567134268536,0.042623847695390786,0.6732328657314629,True
26,4·1 대책,+,1301,0.6655352805534205,0.03479177555726364,0.6307435049961568,True
27,6·19 대책,-,676,0.873239053254438,0.04310325443786982,-0.830135798816568,False
28,8·2 대책,-,1687,0.834649377593361,0.03743117960877297,-0.7972181979845879,False
29,9·13 대책,-,1540,0.8779122727272727,0.04057590909090909,-0.8373363636363637,False
30,27만호 공급,+,299,0.7876789297658863,0.03986655518394649,0.7478123745819398,True
31,의약분업,-,1550,0.8062016774193548,0.031077483870967742,-0.7751241935483871,False
32,줄기세포 육성,+,537,0.8332890130353817,0.02518864059590317,0.8081003724394786,True
33,황우석 폭로,-,1246,0.8834975120385232,0.02932937399678973,-0.8541681380417335,False
34,시밀러 가이드,+,7,0.9803428571428572,0.013985714285714285,0.9663571428571428,True
35,쌍벌제,-,75,0.8120893333333333,0.09050933333333333,-0.72158,False
36,약가인하,-,119,0.8059571428571429,0.07813361344537816,-0.7278235294117648,False
37,바이오 육성,+,1121,0.6785887600356824,0.03244950936663693,0.6461392506690454,True
38,백신-CMO,+,165,0.7911090909090909,0.10712848484848486,0.6839806060606061,True
39,의대증원,-,1704,0.8680672535211268,0.02373386150234742,-0.8443333920187793,False
40,CDMO 특별법,+,16,0.88156875,0.0159125,0.86565625,True
41,녹색성장,+,1790,0.5975920111731843,0.03878486033519553,0.5588071508379888,True
42,전기차 보조금,+,23,0.5998304347826088,0.16261739130434782,0.43721304347826084,True
43,재생에너지 3020,+,246,0.7992154471544716,0.07426341463414633,0.7249520325203253,True
44,ESS 화재,-,157,0.3461152866242038,0.1447044585987261,-0.20141082802547772,False
45,EU CBAM,-,222,0.7362630630630631,0.11473693693693693,-0.6215261261261261,False
46,미국 IRA,+,775,0.5072210322580645,0.21577251612903225,0.2914485161290323,True
47,배터리 전략,+,244,0.6071557377049179,0.09510491803278688,0.5120508196721312,True
48,첨단전략산업법,+,3,0.9574000000000001,0.0388,0.9186000000000001,True
49,IRA 축소,-,99,0.4297010101010101,0.19806767676767675,-0.23163333333333333,False
50,그린뉴딜,+,2526,0.6836829374505147,0.027251900237529693,0.656431037212985,True
