pn,alias,direction,v1_signal,v1_aligned,v2_signal,v2_aligned
1,반도체 빅딜,+,0.021159302083333335,True,0.5130893229166666,True
2,반도체촉진,+,0.014557074074074073,True,0.3480629629629629,True
3,일본 수출규제,-,-0.004237343715239153,False,-0.8862553948832036,False
4,소부장 대책,+,0.10398865124555161,True,0.8734665480427046,True
5,K반도체 벨트,+,0.2347059735915493,True,0.853462676056338,True
6,반도체 초강대국,+,0.15265543983402488,True,0.8652224066390041,True
7,미국 반도체 수출규제,-,-0.04525755752212389,False,-0.5608061946902655,False
8,K칩스법 1차,+,0.013353199612403102,True,0.7415139534883721,True
9,메가 클러스터,+,0.2617544170692432,True,0.8239985507246377,True
10,K칩스법 2차,+,-0.015301944444444446,False,0.5993694444444445,True
11,5개 은행 퇴출,-,-0.056173267958030675,False,-0.8432311541565779,False
12,리먼 파산,-,-0.013480501041666667,False,-0.7401189583333333,False
13,공매도 금지 1차,+,0.04553952077562327,True,0.6691030470914128,True
14,공매도 금지 2차,+,0.08495943499999999,True,0.500865,True
15,공매도 금지 3차,+,0.060863516034985424,True,0.7292030612244897,True
16,공매도 금지 4차,+,0.13717242693565976,True,0.5849116139585606,True
17,100조 패키지,+,0.07710511950439648,True,0.5822217426059153,True
18,거래세 인하,+,0.11162648305084745,True,0.5805889830508475,True
19,금투세 폐지,+,0.012384026204564667,True,0.5436775993237531,True
20,자본시장법,+,0.12742311355311353,True,0.7233468864468865,True
21,주택활성화,+,-0.0010227777777777768,False,0.615825925925926,True
22,10·29 대책,-,-0.023756779840848806,False,-0.8413725464190982,False
23,8·31 대책,-,-0.004871729288214703,False,-0.8275731038506418,False
24,세제완화,+,0.015534000000000001,True,0.7382222462203024,True
25,보금자리 150만,+,0.0944028496993988,True,0.6732328657314629,True
26,4·1 대책,+,0.07872045964642582,True,0.6307435049961568,True
27,6·19 대책,-,0.015280955621301776,True,-0.830135798816568,False
28,8·2 대책,-,-0.09563705749851809,False,-0.7972181979845879,False
29,9·13 대책,-,-0.007240773376623376,False,-0.8373363636363637,False
30,27만호 공급,+,0.06620782608695652,True,0.7478123745819398,True
31,의약분업,-,-0.02973970387096774,False,-0.7751241935483871,False
32,줄기세포 육성,+,0.05654796089385475,True,0.8081003724394786,True
33,황우석 폭로,-,-0.017428836276083468,False,-0.8541681380417335,False
34,시밀러 가이드,+,0.09361085714285715,True,0.9663571428571428,True
35,쌍벌제,-,-0.08254322666666666,False,-0.72158,False
36,약가인하,-,-0.021865100840336136,False,-0.7278235294117648,False
37,바이오 육성,+,0.04301274397859055,True,0.6461392506690454,True
38,백신-CMO,+,0.023490339393939394,True,0.6839806060606061,True
39,의대증원,-,-0.00236656631455399,False,-0.8443333920187793,False
40,CDMO 특별법,+,0.131534875,True,0.86565625,True
41,녹색성장,+,0.04762067877094972,True,0.5588071508379888,True
42,전기차 보조금,+,0.06822473913043478,True,0.4372130434782608,True
43,재생에너지 3020,+,0.10263256910569106,True,0.7249520325203253,True
44,ESS 화재,-,0.031712936305732485,True,-0.2014108280254777,False
45,EU CBAM,-,0.014672297297297297,True,-0.6215261261261261,False
46,미국 IRA,+,0.003950823225806451,True,0.2914485161290323,True
47,배터리 전략,+,0.07831527049180328,True,0.5120508196721312,True
48,첨단전략산업법,+,0.0,False,0.9186,True
49,IRA 축소,-,0.008870383838383839,True,-0.2316333333333333,False
50,그린뉴딜,+,0.05400543151227237,True,0.656431037212985,True
